frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm,was_interpolated
82,2.7333333333333334,166.59999999999997,0.9722222089767456,False,5.553333333333332,False
83,2.7666666666666666,162.79999999999995,0.0,True,5.426666666666666,True
84,2.8,161.79999999999995,0.75,False,5.393333333333332,False
85,2.8333333333333335,159.39999999999998,1.0,False,5.313333333333333,False
86,2.8666666666666667,155.99999999999997,1.0,False,5.199999999999998,False
87,2.9,152.34285714285716,1.0,False,5.078095238095238,False
88,2.933333333333333,144.11428571428573,1.0,False,4.803809523809524,False
89,2.966666666666667,143.74285714285716,1.0,False,4.791428571428571,False
90,3.0,140.0,1.0,False,4.666666666666667,False
91,3.033333333333333,138.2,1.0,False,4.6066666666666665,False
92,3.0666666666666664,135.94285714285715,1.0,False,4.531428571428571,False
93,3.1,133.8857142857143,1.0,False,4.462857142857143,False
94,3.1333333333333333,130.8,1.0,False,4.36,False
